Kurzbezeichnung	Text	Hilfetext	Nummer	Typ	Einstellwert	Initial	Minimum	Maximum	Variablen_Typ	Passwort	Einheit	Vorkomma	Nachkomma	Not delete by P66 function	Non-Volatile	Bitfield	FW_Kommentar
VOLTAGE_CELL_01	Voltage of one single cell #1	leer	1	Zahl	Istwert	0	0	0	SHORT	PW0	Volt	10	3	Nein	Nein	Nein	leer
VOLTAGE_CELL_02	Voltage of one single cell #2	leer	2	Zahl	Istwert	0	0	0	SHORT	PW0	Volt	10	3	Nein	Nein	Nein	leer
VOLTAGE_CELL_03	Voltage of one single cell #3	leer	3	Zahl	Istwert	0	0	0	SHORT	PW0	Volt	10	3	Nein	Nein	Nein	leer
VOLTAGE_CELL_04	Voltage of one single cell #4	leer	4	Zahl	Istwert	0	0	0	SHORT	PW0	Volt	10	3	Nein	Nein	Nein	leer
VOLTAGE_CELL_05	Voltage of one single cell #5	leer	5	Zahl	Istwert	0	0	0	SHORT	PW0	Volt	10	3	Nein	Nein	Nein	leer
VOLTAGE_CELL_06	Voltage of one single cell #6	leer	6	Zahl	Istwert	0	0	0	SHORT	PW0	Volt	10	3	Nein	Nein	Nein	leer
VOLTAGE_CELL_07	Voltage of one single cell #7	leer	7	Zahl	Istwert	0	0	0	SHORT	PW0	Volt	10	3	Nein	Nein	Nein	leer
VOLTAGE_CELL_08	Voltage of one single cell #8	leer	8	Zahl	Istwert	0	0	0	SHORT	PW0	Volt	10	3	Nein	Nein	Nein	leer
VOLTAGE_CELL_09	Voltage of one single cell #9	leer	9	Zahl	Istwert	0	0	0	SHORT	PW0	Volt	10	3	Nein	Nein	Nein	leer
VOLTAGE_CELL_10	Voltage of one single cell #10	leer	10	Zahl	Istwert	0	0	0	SHORT	PW0	Volt	10	3	Nein	Nein	Nein	leer
VOLTAGE_CELL_11	Voltage of one single cell #11	leer	11	Zahl	Istwert	0	0	0	SHORT	PW0	Volt	10	3	Nein	Nein	Nein	leer
VOLTAGE_CELL_12	Voltage of one single cell #12	leer	12	Zahl	Istwert	0	0	0	SHORT	PW0	Volt	10	3	Nein	Nein	Nein	leer
VOLTAGE_CELL_13	Voltage of one single cell #13	leer	13	Zahl	Istwert	0	0	0	SHORT	PW0	Volt	10	3	Nein	Nein	Nein	leer
VOLTAGE_CELL_14	Voltage of one single cell #14	leer	14	Zahl	Istwert	0	0	0	SHORT	PW0	Volt	10	3	Nein	Nein	Nein	leer
VOLTAGE_CELL_15	Voltage of one single cell #15	leer	15	Zahl	Istwert	0	0	0	SHORT	PW0	Volt	10	3	Nein	Nein	Nein	leer
VOLTAGE_CELL_16	Voltage of one single cell #16	leer	16	Zahl	Istwert	0	0	0	SHORT	PW0	Volt	10	3	Nein	Nein	Nein	leer
VOLTAGE_CELL_HIGH	Maximal cell voltage of all cells (#1-#16)	leer	17	Zahl	Istwert	0	0	0	SHORT	PW0	Volt	10	3	Nein	Nein	Nein	leer
VOLTAGE_CELL_LOW	Minimal cell voltage of all cells (#1-#16)	leer	18	Zahl	Istwert	0	0	0	SHORT	PW0	Volt	10	3	Nein	Nein	Nein	leer
VOLTAGE_BATTERY_CELLS	Sum of all single cell Voltages (#1- #16)	leer	20	Zahl	Istwert	0	0	0	LONG	PW0	Volt	10	3	Nein	Nein	Nein	leer
STATUS	BMS-Status	0 = Initializing, 1 = Initialisation_Done, 2 = Ready,  3 = Operating, 4 = Relais_Test,5 = Error (see Par. #152 ), 6 = Fatal_Error (see Par. #152, #153 )	32	Zahl	Istwert	0	0	0	ULONG	PW0	Without	1	0	Nein	Nein	Nein	leer
ERROR_ACK	(unused)	leer	33	Zahl	Istwert	0	0	0	LONG	PW0	Without	10	0	Nein	Nein	Nein	leer
