Kurzbezeichnung	Text	Hilfetext	Nummer	Typ	Einstellwert	Initial	Minimum	Maximum	Variablen_Typ	Passwort	Einheit	Vorkomma	Nachkomma	Not locked by access code	Not delete by P66 function	Bitfield	Non-Volatile	FW_Kommentar
NULL	Kein Parameter	leer	0	Zahl	Istwert	0	0	0	USHORT	PW0	Without	1	0	Nein	Nein	Nein	Nein	Keep standard callback for solalog
UAC	Netzspannung	Aktueller Wert der Netzspannung	1	Zahl	Istwert	0	0	0	USHORT	PW0	Volt	3	0	Nein	Nein	Nein	Nein	leer
UZK	Zwischenkreisspannung	Spannung am Zwischenkreis	2	Zahl	Istwert	0	0	0	USHORT	PW0	Volt	3	0	Nein	Nein	Nein	Nein	leer
IAC	Netzstrom	Ins Netz eingespeister Strom	3	Zahl	Istwert	0	0	0	USHORT	PW0	Ampere	2	2	Nein	Nein	Nein	Nein	leer
PAC	Leistung AC	Aktuell ins Netz eingespeiste Leistung	5	Zahl	Istwert	0	0	0	SHORT	PW0	Watt	5	0	Nein	Nein	Nein	Nein	leer
PDC	Leistung DC	Abgabeleistung des Solargenerators	6	Zahl	Istwert	0	0	0	USHORT	PW0	Watt	5	0	Nein	Nein	Nein	Nein	leer
ETA	Wirkungsgrad	Aktueller Wirkungsgrad des Wechselrichters	7	Zahl	Istwert	0	0	0	USHORT	PW0	Percent	2	1	Nein	Nein	Nein	Nein	leer
ET	Energie Tag	Am Tag bisher ins Netz eingespeiste Energie	8	Zahl	Einstellwert	0	0	99999	ULONG	PW2	Kilowatt hour	2	3	Nein	Nein	Nein	Ja	leer
EW	Energie Woche	In der Woche bisher ins Netz eingespeiste Energie, ab Montag bis heute	9	Zahl	Einstellwert	0	0	999	ULONG	PW2	Kilowatt hour	3	0	Nein	Nein	Nein	Ja	leer
EM	Energie Monat	Im Monat bisher ins Netz eingespeiste Energie	10	Zahl	Einstellwert	0	0	9999	ULONG	PW2	Kilowatt hour	4	0	Nein	Nein	Nein	Ja	leer
EJ	Energie Jahr	Im Jahr bisher ins Netz eingespeiste Energie	11	Zahl	Einstellwert	0	0	99999	ULONG	PW2	Kilowatt hour	5	0	Nein	Nein	Nein	Ja	leer
EG	Energie gesamt	Insgesamt bisher eingespeiste Energie	12	Zahl	Istwert	0	0	0	ULONG	PW0	Kilowatt hour	6	0	Nein	Nein	Nein	Nein	leer
WC	Warn Code Parameter	Warn Code Parameter	15	Zahl	Einstellwert	0	0	65535	USHORT	PW4	Without	5	0	Nein	Nein	Nein	Nein	leer
UACLN	Netzspannung N	Netzspannung am Leiter N	16	Zahl	Istwert	0	0	0	USHORT	PW0	Volt	3	1	Nein	Nein	Nein	Nein	leer
DCPI	Cosinus Phi Istwert	Aktuell eingestellter Cosinus Phi	17	Zahl	Istwert	0	0	0	SHORT	PW0	Without	1	3	Nein	Nein	Nein	Nein	leer
STINFO	Status Info	Status Information	18	Zahl	Istwert	0	0	0	ULONG	PW0	Without	10	0	Nein	Nein	Ja	Nein	leer
AFIFS	AFI absolut RMS Fehlerstrom	leer	19	Zahl	Istwert	0	0	0	USHORT	PW0	Ampere	1	3	Nein	Nein	Nein	Nein	leer
UAC1_2	Zweite Netzspannungsmessung des Controllers	Aktueller Wert der Netzspannung 2	20	Zahl	Istwert	0	0	0	USHORT	PW0	Volt	3	0	Nein	Nein	Nein	Nein	leer
PPV1	Leistung PV1	Abgabeleistung des Solargenerators PV1	21	Zahl	Istwert	0	0	0	USHORT	PW0	Watt	5	0	Nein	Nein	Nein	Nein	leer
PPV2	Leistung PV2	Abgabeleistung des Solargenerators PV2	22	Zahl	Istwert	0	0	0	USHORT	PW0	Watt	5	0	Nein	Nein	Nein	Nein	leer
TRINFO	Steuerwort Info	Steuerwort Info	23	Zahl	Einstellwert	0	0	0xFFFFFFFFL	ULONG	PW0	Without	10	0	Nein	Nein	Ja	Nein	leer
ISOFI	Isolations-Fehlerstrom	Fehlerstrom der Isolationsmessung  während der Einschaltprüfung	24	Zahl	Istwert	0	0	0	SHORT	PW0	uAmpere	4	0	Nein	Nein	Nein	Nein	leer
PWRMAX	Wirkleistung Max EMS	leer	25	Zahl	Einstellwert	0	0	5400	USHORT	PW0	Watt	4	0	Ja	Nein	Nein	Nein	leer
UACPK	UAC Scheitelwert	Aktueller Scheitelwert der Netzspannung	26	Zahl	Istwert	0	0	0	USHORT	PW0	Volt	3	0	Nein	Nein	Nein	Nein	leer
EUROT	Eurobetrag heute	Energieleistung des Tages, umgerechnet in Euro	27	Zahl	Einstellwert	0	0	0xFFFFFFFFL	ULONG	PW2	Euro	4	2	Nein	Nein	Nein	Ja	leer
EUROG	Eurobetrag gesamt	Gesamtleistung bisher, umgerechnet in Euro	28	Zahl	Einstellwert	0	0	0xFFFFFFFFL	ULONG	PW2	Euro	6	0	Nein	Nein	Nein	Ja	leer
EKWH	Vergütung Euro pro kWh	Derzeit gültige Rückvergütung pro kW/h für ins Netz eingespeiste Energie	29	Zahl	Einstellwert	2874	0	65535	USHORT	PW1	Euro per kilowatt hour	1	4	Nein	Nein	Nein	Ja	leer
STAT1	Geräte-Status 1	Interner Status des Geräts 1	30	Zahl	Istwert	0	0	0	USHORT	PW0	Without	5	0	Nein	Nein	Nein	Nein	leer
STAT2	Geräte-Status 2	Interner Status des Geräts 2	31	Zahl	Istwert	0	0	0	USHORT	PW0	Without	5	0	Nein	Nein	Nein	Nein	leer
STATUS	Statustext	Darstellung des Gerätestatus im Klartext	32	Zahl	Istwert	0	0	0	USHORT	PW0	Without	5	0	Nein	Nein	Nein	Nein	leer
IACN	Netzstrom Phase N	Strom der Phase N	34	Zahl	Istwert	0	0	0	USHORT	PW0	Ampere	2	2	Nein	Nein	Nein	Nein	leer
AFIFDCS	AFI absolut DC Fehlerstrom	leer	35	Zahl	Istwert	0	0	0	USHORT	PW0	Ampere	1	3	Nein	Nein	Nein	Nein	leer
AFIFACS	AFI absolut AC RMS Fehlerstrom	leer	36	Zahl	Istwert	0	0	0	USHORT	PW0	Ampere	1	3	Nein	Nein	Nein	Nein	leer
PW	Passwort	Passwortabfrage	37	Zahl	Istwert	0	0	10000	ULONG	PW0	Without	6	0	Ja	Nein	Nein	Nein	leer
PSDF	Phaseshift F-Delta	Frequenzabweichung durch Phasen-Shift	38	Zahl	Istwert	0	0	0	USHORT	PW0	Hertz	2	2	Nein	Nein	Nein	Nein	leer
FASM	Fehlerstrom AFI Sprung Max	leer	39	Zahl	Einstellwert	30	0	1000	USHORT	PW3	Ampere	1	3	Nein	Nein	Nein	Ja	Is not used anymore. Only to keep the interface structure
OGFN	Off Nennfrequenz	leer	40	Zahl	Einstellwert	5000	4000	7000	USHORT	PW2	Hertz	2	2	Nein	Nein	Nein	Ja	leer
PWML	Off PWM Limit	leer	41	Zahl	Einstellwert	990	50	1100	USHORT	PW4	Without	4	0	Nein	Nein	Nein	Ja	leer
OGKPUAC	Off KP	leer	42	Zahl	Einstellwert	1	0	100	USHORT	PW2	Without	3	0	Nein	Nein	Nein	Ja	leer
OGKIUAC	Off KI	leer	43	Zahl	Einstellwert	200	0	400	USHORT	PW2	Without	3	0	Nein	Nein	Nein	Ja	leer
UPV1	PV Spannung 1	Spannung, die der PV-Generator liefert	44	Zahl	Istwert	0	0	0	USHORT	PW0	Volt	3	0	Nein	Nein	Nein	Nein	leer
UPV2	PV Spannung 2	Spannung, die der PV-Generator liefert	45	Zahl	Istwert	0	0	0	USHORT	PW0	Volt	3	0	Nein	Nein	Nein	Nein	leer
OGUACS	Off UAC	leer	46	Zahl	Einstellwert	230	0	250	USHORT	PW2	Volt	3	0	Nein	Nein	Nein	Ja	leer
OGUACR	Off Rampe	leer	47	Zahl	Einstellwert	40	1	200	SHORT	PW2	Without	3	0	Nein	Nein	Nein	Ja	leer
FAM	Fehlerstrom AFI Max	leer	48	Zahl	Einstellwert	300	0	3000	USHORT	PW3	Ampere	1	3	Nein	Nein	Nein	Ja	leer
TWR	Temperatur Wechselrichter	Temperatur Wechselrichter	49	Zahl	Istwert	0	0	0	SHORT	PW0	Degree celsius	2	0	Nein	Nein	Nein	Nein	leer
UACMAXE	UAC Max Einschalt	Obere Einschaltschwelle UAC	50	Zahl	Einstellwert	246	230	280	USHORT	PW3	Volt	3	0	Nein	Nein	Nein	Ja	leer
UACMAX	Spannungssteigerung langsam	Obere Spannungsschwelle für die Langzeit, gleitendes Mittelwertüberwachung, deren Filterzeit aus P348 verwendet wird.	51	Zahl	Einstellwert	253	230	280	USHORT	PW3	Volt	3	0	Nein	Nein	Nein	Ja	leer
UACMINE	UAC Min Einschalt	Untere Einschaltschwelle UAC	52	Zahl	Einstellwert	188	80	230	USHORT	PW3	Volt	3	0	Nein	Nein	Nein	Ja	leer
UACMIN	Spannungsrückgang langsam	Untere Spannungschwelle welche entweder mit der Zeitüberwachung aus P426 oder P348 überprüft wird.	53	Zahl	Einstellwert	100	80	230	USHORT	PW3	Volt	3	0	Nein	Nein	Nein	Ja	leer
OGUACMZ	Off Minimal Netz	leer	54	Zahl	Einstellwert	20	3	250	USHORT	PW2	Volt	3	0	Nein	Nein	Nein	Ja	leer
IACMAX	IAC Max	Ein Netzstrom oberhalb dieses Wertes führt zu einer Störabschaltung	55	Zahl	Einstellwert	1750	50	2200	USHORT	PW3	Ampere	2	2	Nein	Nein	Nein	Ja	leer
SAC	Scheinleistung	Scheinleistung	56	Zahl	Istwert	0	0	0	USHORT	PW0	Volt-Ampere	4	0	Nein	Nein	Nein	Nein	leer
QAC	Blindleistung	Blindleistung	57	Zahl	Istwert	0	0	0	SHORT	PW0	Volt-Ampere-reactiv	4	0	Nein	Nein	Nein	Nein	leer
UZKMAXE	UZK Max Ein	Liegt die Zwischenkreisspannung über diesem Wert, wird nicht eingeschaltet	58	Zahl	Einstellwert	490	250	550	USHORT	PW2	Volt	3	0	Nein	Nein	Nein	Ja	leer
UZKMAX	UZK Max	Eine Zwischenkreisspannung oberhalb dieses Wertes führt zu einer Störabschaltung	59	Zahl	Einstellwert	500	0	570	USHORT	PW2	Volt	3	0	Nein	Nein	Nein	Ja	leer
UZKMINE	UZK Min Ein	Ist die Zwischenkreisspannung unter diesem Wert, wird eine Warnmeldung generiert	60	Zahl	Einstellwert	340	310	390	USHORT	PW2	Volt	3	0	Nein	Nein	Nein	Ja	leer
UZKMIN	UZK Min	Eine Zwischenkreisspannung unterhalb dieses Wertes führt zu einer Störabschaltung	61	Zahl	Einstellwert	330	320	500	USHORT	PW2	Volt	3	0	Nein	Nein	Nein	Ja	leer
UZKMF	UZK Max schnell	leer	62	Zahl	Einstellwert	510	0	570	USHORT	PW2	Volt	3	0	Nein	Nein	Nein	Ja	schnelle Abschaltschwelle von UZK
RESTWZ	Verbleibende Wartezeit	leer	63	Zahl	Istwert	0	0	0xFFFF	USHORT	PW0	Second	5	0	Nein	Nein	Nein	Nein	verbleibende Wartezeit bis Start
WZRS	Wartezeit Re-Start	Dauer bis zum Wiedereinschalten des Wechselrichters nach einer Störabschaltung	64	Zahl	Einstellwert	0	0	3600	USHORT	PW3	Second	3	0	Nein	Nein	Nein	Ja	leer
EZWT	Wochentag	Aktueller Wochentag, 0 = Sonntag	65	Zahl	Einstellwert	0	0	6	USHORT	PW0	Without	1	0	Nein	Nein	Nein	Nein	leer
STDW	Standardwerte setzen	Setzen der werkseitig vorgegebenen Standardwerte (für alle Parameter), Eingabe von 10	66	Zahl	Einstellwert	0	0	99	USHORT	PW1	Without	2	0	Nein	Nein	Nein	Nein	leer
AFIA	AFI Aktiv	Überwachung ob Phase L und N richtig angeschlossen sind.	67	Zahl	Einstellwert	7	0	200	USHORT	PW3	Without	3	0	Nein	Nein	Nein	Ja	leer
ACDC	DC-Anteil im AC-Strom	Gleichstromanteil des Netzstroms	68	Zahl	Istwert	0	0	0	SHORT	PW0	Ampere	1	2	Nein	Nein	Nein	Nein	leer
ACDCMAX	DC-Anteil im AC-Strom Max	Grenzwert für den DC-Anteil im Netzstrom	69	Zahl	Einstellwert	80	0	200	SHORT	PW3	Ampere	1	2	Nein	Nein	Nein	Ja	leer
UPV1MIN	UPV1 Min	Eine Spannung des PV-Generators unterhalb dieses Wertes führt zu einer Störabschaltung	71	Zahl	Einstellwert	80	50	400	USHORT	PW2	Volt	3	0	Nein	Nein	Nein	Ja	leer
UPV2MIN	UPV2 Min	Eine Spannung des PV-Generators unterhalb dieses Wertes führt zu einer Störabschaltung	72	Zahl	Einstellwert	80	50	400	USHORT	PW2	Volt	3	0	Nein	Nein	Nein	Ja	leer
IPV1M	Strom PV1 Max	Ein Strom des PV-Generators oberhalb dieses Wertes führt zu einer Störabschaltung	73	Zahl	Einstellwert	IPVMAX_PB2_4	0	IPVMAX_PB2_4	USHORT	PW2	Ampere	2	2	Nein	Nein	Nein	Ja	leer
IPV2M	Strom PV2 Max	Ein Strom des PV-Generators oberhalb dieses Wertes führt zu einer Störabschaltung	74	Zahl	Einstellwert	IPVMAX_PB2_4	0	IPVMAX_PB2_4	USHORT	PW2	Ampere	2	2	Nein	Nein	Nein	Ja	leer
DFMAXF	Frequenzabweichung nach oben Level 2	Obere Schwelle für die schnelle Netzfrequenzüberwachung.	75	Zahl	Einstellwert	150	0	500	USHORT	PW3	Hertz	1	2	Nein	Nein	Nein	Ja	leer
DFMINF	Frequenzabweichung nach unten Level 2	Untere Schwelle für die schnelle Netzfrequenzüberwachung.	76	Zahl	Einstellwert	250	0	500	USHORT	PW3	Hertz	1	2	Nein	Nein	Nein	Ja	leer
NF	Netzfrequenz	Frequenz des Netzes	77	Zahl	Istwert	0	0	0	USHORT	PW0	Hertz	2	2	Nein	Nein	Nein	Nein	leer
UZKS	UZK Sollwert Wechselrichter	Sollwert für die Zwischenkreisspannung	78	Zahl	Einstellwert	400	330	450	USHORT	PW2	Volt	3	0	Nein	Nein	Nein	Ja	leer
UZKSV	UZK Sollwert Wechselrichter Vorgabe	Angepasster Sollwert für die Zwischenkreisspannung	79	Zahl	Einstellwert	400	330	450	USHORT	PW0	Volt	3	0	Nein	Nein	Nein	Nein	leer
T1	Testvariable 1	Testvariable Nr.  1	80	Zahl	Einstellwert	0	-2147483647	2147483646	LONG	PW0	Without	7	0	Nein	Nein	Nein	Nein	leer
T2	Testvariable 2	Testvariable Nr.  2	81	Zahl	Einstellwert	0	-2147483647	2147483646	LONG	PW0	Without	7	0	Nein	Nein	Nein	Nein	leer
T3	Testvariable 3	Testvariable Nr.  3	82	Zahl	Einstellwert	0	-2147483647	2147483646	LONG	PW0	Without	7	0	Nein	Nein	Nein	Nein	leer
BMPRED	BM-Zähler Leistungsreduktion	Betriebsminuten-Zähler Leistungsreduktion	83	Zahl	Einstellwert	0	0	0xFFFFFFFFL	ULONG	PW4	Minute	6	0	Nein	Nein	Nein	Ja	leer
